Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.440330505371094,6.4550763032980685,6.391278025967366,6.4228762217812925,493729600
2010-01-05,6.4514665603637695,6.487879848401319,6.417460413781116,6.458087304295299,601904800
2010-01-06,6.348846435546875,6.477045280657176,6.342225692663006,6.451465539489639,552160000
2010-01-07,6.337109565734863,6.37984305187511,6.291066511579937,6.372319480055896,477131200
2010-01-08,6.379241943359375,6.379844231009115,6.291369420820416,6.3286847367688495,447610800
2010-01-11,6.3229660987854,6.409936173343546,6.273010388314571,6.403917316228298,462229600
2010-01-12,6.25104284286499,6.312735337372884,6.211921468964844,6.295280246363157,594459600
2010-01-13,6.339216232299805,6.34764263282566,6.1421038718775645,6.255556925343339,605892000
2010-01-14,6.3025007247924805,6.33349743094724,6.290162471965369,6.322964834893772,432894000
2010-01-15,6.197175979614258,6.3678070063030505,6.195370322018221,6.34764382981397,594067600
2010-01-19,6.47132682800293,6.475840970783041,6.236597430330016,6.269398995820248,730007600
2010-01-20,6.3717169761657715,6.486673920818798,6.304607931659368,6.467413981837487,612152800
2010-01-21,6.261574745178223,6.419265602042172,6.2356944607414775,6.382250832690952,608154400
2010-01-22,5.951010227203369,6.244422753190375,5.933255397936398,6.222755665837171,881767600
2010-01-25,6.1111063957214355,6.160158471211207,6.024436867223018,6.094253998563211,1065699600
2010-01-26,6.197475910186768,6.431303307369188,6.096361512083576,6.197776853070281,1867110000
2010-01-27,6.255858421325684,6.337110599470052,6.004576304881323,6.224861702167099,1722568400
2010-01-28,5.997353553771973,6.184235074027143,5.9795987265158175,6.167082132562241,1173502400
2010-01-29,5.779776573181152,6.084925812978213,5.725307119072653,6.051221015113367,1245952400
2010-02-01,5.860126495361328,5.898345437483027,5.756905498420523,5.78910558295049,749876400
2010-02-02,5.894131660461426,5.907975031567911,5.819499842590746,5.895636776504988,698342400
2010-02-03,5.995548725128174,6.024739788245984,5.850798386666944,5.873368705165813,615328000
2010-02-04,5.779476642608643,5.96966773508442,5.765031383318195,5.920313902761244,757652000
2010-02-05,5.8820929527282715,5.898343863890438,5.743361536593577,5.796928551283286,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904061794281006,5.9434840957257284,5.860726834641201,5.91098307689227,632886800
2010-02-10,5.871862888336182,5.916402032892487,5.845982604178523,5.8950346865672,370361600
2010-02-11,5.978695869445801,6.011197302410529,5.8399644002403965,5.86464131743013,550345600
2010-02-12,6.030155658721924,6.068073658294349,5.8832987465475535,5.961842829839377,655468800
2010-02-16,6.121038913726807,6.129765856250115,6.0644628525037625,6.0771020528240065,543737600
2010-02-17,6.095459938049316,6.148424285786428,6.044600985412663,6.144812970679,436396800
2010-02-18,6.1068949699401855,6.135785089027008,6.046406647227017,6.067772791375106,422825200
2010-02-19,6.068975925445557,6.115019381625988,6.052123526278265,6.074694241849937,415469600
2010-02-22,6.0313591957092285,6.093954111565596,5.994344425549897,6.089139427109654,390563600
2010-02-23,5.930243015289307,6.058742778436252,5.889616942637176,6.018718189591782,575094800
2010-02-24,6.038583278656006,6.062056024621753,5.953718574117233,5.965455348893088,460566400
2010-02-25,6.078908443450928,6.104788733027773,5.925130215329676,5.9398760177806205,665126000
2010-02-26,6.157751560211182,6.174303015148983,6.078906542567606,6.090341969061385,507460800
2010-03-01,6.2892608642578125,6.304608145246488,6.182729109705924,6.191756992956822,550093600
2010-03-02,6.285048007965088,6.344633085337924,6.251643753271007,6.317548630519751,566546400
2010-03-03,6.299492359161377,6.315743273901178,6.257662908021177,6.28775639099061,372052800
2010-03-04,6.341022491455078,6.347342292449356,6.278427572700077,6.297989263284817,366041200
2010-03-05,6.588993072509766,6.611563384617907,6.45898857299002,6.468317801402433,899620400
2010-03-08,6.592906951904297,6.623300982058133,6.56792909083374,6.62089384044256,429889600
2010-03-09,6.711472988128662,6.771058056665906,6.557092944473806,6.569732140558554,920259200
2010-03-10,6.766243934631348,6.785504276995123,6.716890914495598,6.735849912217083,596218000
2010-03-11,6.786106109619141,6.786106109619141,6.720502570151375,6.738258200231668,405700400
2010-03-12,6.819209575653076,6.853214914769391,6.793629833356823,6.842380971390462,416323600
2010-03-15,6.736151218414307,6.7861057251506125,6.6281147386043004,6.7824952143483666,493502800
2010-03-16,6.754507541656494,6.770457110827818,6.696126236242051,6.7463824865430695,446908000
2010-03-17,6.744577884674072,6.814695570352755,6.7189985421454095,6.768050626934482,450956800
2010-03-18,6.760524749755859,6.771057345087467,6.699133629037832,6.743972495339101,342109600
2010-03-19,6.6883015632629395,6.778281463826486,6.657605795250324,6.764739437763981,559445600
2010-03-22,6.7635345458984375,6.80115199302734,6.625104076208881,6.634734245532832,456419600
2010-03-23,6.872171401977539,6.884810997966272,6.743972196276822,6.790316577983366,602431200
2010-03-24,6.902568340301514,6.927546195400415,6.846593773021356,6.850506431917748,597780400
2010-03-25,6.82071590423584,6.950720852451592,6.808678185812342,6.949215735855651,542284400
2010-03-26,6.948610305786133,6.980208091498118,6.877889959676702,6.889927670568224,640875200
2010-03-29,6.99345064163208,7.037989380265627,6.97027924734253,7.011808557447748,540744400
2010-03-30,7.097574710845947,7.146627995812646,7.049424656262791,7.120145023819747,527310000
2010-03-31,7.071994304656982,7.120445699343426,7.055744195137805,7.086740905378297,430659600
2010-04-01,7.101187705993652,7.184245545236783,7.0042864917503636,7.144522685016904,603145200
2010-04-05,7.177020072937012,7.177621958500866,7.065071768816743,7.071391969029977,684507600
2010-04-06,7.208620548248291,7.229685744906048,7.132182668821935,7.168295008510763,447017200
2010-04-07,7.240519046783447,7.280242697282439,7.182136940578023,7.208920451008938,628502000
2010-04-08,7.2209601402282715,7.268808858544516,7.163481248589745,7.235705941335068,572989200
2010-04-09,7.276331901550293,7.279342134246399,7.2363076997630795,7.265498760339351,334182800
2010-04-12,7.291379451751709,7.314852196528277,7.2769341912209455,7.28867056360923,333026400
2010-04-13,7.295591354370117,7.306726643733684,7.255867694190481,7.278438814031997,306210800
2010-04-14,7.393698215484619,7.397309530900143,7.3449470645470125,7.38135995627457,404076400
2010-04-15,7.490896701812744,7.494206670682066,7.3882772202516565,7.39640227372039,376784800
2010-04-16,7.445158004760742,7.55770825400707,7.359391275487141,7.480367123500767,750545600
2010-04-19,7.4352264404296875,7.45990295520319,7.275729914157724,7.434022668802402,566924400
2010-04-20,7.360594749450684,7.500830940026527,7.311542257400633,7.4794643938596455,738326400
2010-04-21,7.800862789154053,7.831859503404496,7.695835735020215,7.788223188437353,982391200
2010-04-22,8.019042015075684,8.027468416462876,7.709980480389631,7.771372029767588,793424800
2010-04-23,8.150249481201172,8.190875566097228,8.034991166527515,8.064783307350293,796955600
2010-04-26,8.110223770141602,8.199300438491665,8.070800660572857,8.181846557657707,479068800
2010-04-27,7.8857245445251465,8.060267355468516,7.839982844819714,8.043114017182578,709343600
2010-04-28,7.872487545013428,7.94471144203781,7.71630177057107,7.922141926234803,758402400
2010-04-29,8.084345817565918,8.125272447713796,7.884825080354921,7.915219110044361,558840800
2010-04-30,7.857138633728027,8.142425272800002,7.854430549400593,8.104507270700806,542463600
2010-05-03,8.015427589416504,8.061471434476871,7.911002450288619,7.939892958118042,454342000
2010-05-04,7.784613132476807,7.923345007364694,7.726533157329553,7.911308094036193,723819600
2010-05-05,7.703660011291504,7.7683615218646045,7.485180312894601,7.614583334040802,883103200
2010-05-06,7.410549163818359,7.771671775434678,5.996149388805389,7.638658238637402,1285860800
2010-05-07,7.097874164581299,7.42017709159641,6.7773776980565374,7.3341098565615255,1676018400
2010-05-10,7.643471717834473,7.663333945555503,7.479160942798083,7.530922308424766,984306400
2010-05-11,7.719611167907715,7.821026111112411,7.538447562796591,7.578772303610635,848906800
2010-05-12,7.887234687805176,7.918531956242425,7.78521782328042,7.801467138120321,654379600
2010-05-13,7.77498197555542,7.974803208892922,7.7159979798174065,7.921236184521374,599712400
2010-05-14,7.638355731964111,7.718404917599808,7.508351643702874,7.6786812676120615,759362800
2010-05-17,7.65039587020874,7.709379880019879,7.454486445433917,7.664841130632508,762834800
2010-05-18,7.594422340393066,7.780701597614358,7.53122512756829,7.733454762152877,782678400
2010-05-19,7.473443031311035,7.611271632275471,7.368416796825539,7.508351595794417,1025726800
2010-05-20,7.155052185058594,7.338321912611446,7.108406457414017,7.279036588603206,1282915200
2010-05-21,7.292281627655029,7.35788556923886,6.962154114167775,7.006391512766359,1223891200
2010-05-24,7.425894737243652,7.5504826551592625,7.410848399685268,7.441543764033439,754238800
2010-05-25,7.379553318023682,7.425896919193128,7.136998956611787,7.202903445223216,1048006400
2010-05-26,7.346144199371338,7.587495433141801,7.335310261727732,7.525803382493734,850654000
2010-05-27,7.6242146492004395,7.640465568054748,7.496618056243777,7.541457349185061,666282400
2010-05-28,7.730443000793457,7.806278990437346,7.6242121856474006,7.805978449385691,815614800
2010-06-01,7.849309921264648,8.003088045959599,7.7930348340105144,7.8150032523362825,876472800
2010-06-02,7.943204402923584,7.968783336850925,7.834264710933765,7.960958823651512,688548000
2010-06-03,7.918225288391113,7.9913523718991,7.83667100381118,7.980217087713539,650106800
2010-06-04,7.702759265899658,7.881514545150749,7.662735061510931,7.770469416316147,758304400
2010-06-07,7.551686763763428,7.798754805491856,7.539949591354,7.7728745251537745,886942000
2010-06-08,7.503236770629883,7.637755416639728,7.392492208791898,7.620902616462197,1000770400
2010-06-09,7.318763732910156,7.580579247071382,7.2973979913544635,7.567638299951898,854630000
